Unnamed: 0.1,Unnamed: 0,drug_row,drug_col,cell_line_name,split,COSMIC identifier,cid_row,cid_col,merged,ic50_row,ic50_col,css_ri,S_mean,synergy_zip,synergy_loewe,synergy_hsa,synergy_bliss
11,23,(-)-HUPERZINE A,TEMOZOLOMIDE,T98G,1.0,687586,449069,5394,huperzineatemozolomidet98g,2.23606797749e-05,0.0002,19.823584006272,15.314079825145816,9.3481930680279,2.43089209363297,2.4309945755339,9.3481930681279
12,24,(-)-MK 801 MALEATE,TEMOZOLOMIDE,T98G,1.0,687586,16219612,5394,mk801maleatetemozolomidet98g,2.23606797749e-05,0.0002,11.2824364076776,-10.2934480254809,-27.389144138782,-14.50031051888,-14.4767430279013,-27.389144138682
67,484,"001, RAD",781661-94-7,A2058,3.0,906792,6442177,11178236,001rad781661947a2058,0.0521405349091015,0.0004353877490295,53.823,18.329,-4.00243947124217,-27.6182888270591,-3.00480723506776,-7.71583386994736
68,507,"001, RAD",781661-94-7,LOX IMVI,3.0,905974,6442177,11178236,001rad781661947loximvi,0.0205062627262722,0.002,26.0825,-21.7035,-23.5571679687856,-13.2113853566243,-35.19144385433,-49.414259242989
69,511,"001, RAD",781661-94-7,RPMI7951,3.0,910903,6442177,11178236,001rad781661947rpmi7951,0.0519184966949717,0.0011719353568426,46.107,49.1055,16.6277692402701,-12.8105111407167,-0.999249823080109,30.391131997744
70,513,"001, RAD",781661-94-7,SK-MEL-2,3.0,905955,6442177,11178236,001rad781661947skmel2,0.0200114087899729,0.002,58.908,10.035,-6.1559896908635,25.1006176965106,-9.47897816752344,-19.2104763865226
71,514,"001, RAD",781661-94-7,SK-MEL-5,3.0,905956,6442177,11178236,001rad781661947skmel5,0.0566956780745017,0.001174939303859,53.591,46.454,15.2597083747326,-7.78306580361772,3.04506778051631,29.8109408505325
72,516,"001, RAD",781661-94-7,UACC-257,3.0,905977,6442177,11178236,001rad781661947uacc257,0.0625470577062837,0.0012328408560562,57.648,51.663,20.5492731918306,-13.8484816637326,4.34619646303292,34.9376292676237
78,565,"001, RAD",844499-71-4,A2058,2.0,906792,6442177,54708532,001rad844499714a2058,0.0521402444140949,10.0,24.9545,24.24,19.787908278304,2.2132624371621,13.7909693901762,24.4439473041833
79,579,"001, RAD",844499-71-4,LOX IMVI,2.0,905974,6442177,54708532,001rad844499714loximvi,0.0205041820982981,8.23446193416421,9.72,33.519,13.3741507066803,-33.9187000764125,-21.1734337586466,32.4127108631191
80,583,"001, RAD",844499-71-4,RPMI7951,2.0,910903,6442177,54708532,001rad844499714rpmi7951,0.0519510051561419,5.17625277929261,-0.609,36.901,52.2079736181995,10.2859695932639,23.3500743769182,103.270967591478
81,585,"001, RAD",844499-71-4,SK-MEL-2,2.0,905955,6442177,54708532,001rad844499714skmel2,0.0200098230238625,9.60259973055381,19.2345,0.939500000000002,-7.56089491881998,-16.1450152237259,-6.07439552571062,-10.6190439497383
82,586,"001, RAD",844499-71-4,SK-MEL-5,2.0,905956,6442177,54708532,001rad844499714skmel5,0.069223960858725,10.0,43.909,32.277,3.77208850146074,-0.436783884281987,3.23800142898065,8.41477806616618
83,588,"001, RAD",844499-71-4,UACC-257,2.0,905977,6442177,54708532,001rad844499714uacc257,0.0578261434514203,10.0,12.6845,3.5105,5.43017630402628,1.58339161042344,-1.89488946941456,0.967506774944821
199,1384,"001, RAD",GEMCITABINE,A2058,3.0,906792,6442177,60750,001radgemcitabinea2058,0.0521406557608305,0.0007630490790867,50.4415,31.8725,10.7059785565271,5.90835523335551,12.8586788862682,12.6491626073007
200,1407,"001, RAD",GEMCITABINE,LOX IMVI,3.0,905974,6442177,60750,001radgemcitabineloximvi,0.0205057385878368,0.0003780100272489,29.666,-9.76950000000001,-24.0339074057628,-21.8471114988042,-15.780665469502,-31.6495410938789
201,1411,"001, RAD",GEMCITABINE,RPMI7951,3.0,910903,6442177,60750,001radgemcitabinerpmi7951,0.0824908465656944,0.0012777932211159,22.4025,28.6785,7.23056136921309,-24.5771765524394,-10.435558458988,22.8985376068812
202,1413,"001, RAD",GEMCITABINE,SK-MEL-2,3.0,905955,6442177,60750,001radgemcitabineskmel2,0.0200104298832965,0.002,30.7575,2.478,-7.44615877689089,2.42375385529437,-0.507159729130168,-14.8576239459114
203,1414,"001, RAD",GEMCITABINE,SK-MEL-5,3.0,905956,6442177,60750,001radgemcitabineskmel5,0.0574651414940419,0.0018123340002662,29.0325,6.4005,-10.4018054241269,-1.42822265718412,-25.4597232276911,-23.4028382780214
