Unnamed: 0.1,Unnamed: 0,drug_row,drug_col,cell_line_name,split,COSMIC identifier,cid_row,cid_col,merged,ic50_row,ic50_col,css_ri,S_mean,synergy_zip,synergy_loewe,synergy_hsa,synergy_bliss
3,5,(+)-USNIC ACID,RUXOLITINIB,L-1236,2.0,1330935,442614,25126798,usnicacidruxolitinibl1236,4.0,0.0799065417122885,6.9075,38.0045,65.6234823412349,-6.18827034083896,-4.53987199185075,58.1217868867205
9,13,(-)-CHLORPHENIRAMINE,RUXOLITINIB,L-1236,2.0,1330935,716121,25126798,chlorpheniramineruxolitinibl1236,0.0264361726244911,0.0515162947901619,48.7385,20.296,0.933841709820645,-21.2357617593921,1.85675545419086,0.0496913188172427
15,195,"(3S,4R)-TOFACITINIB",RUXOLITINIB,L-1236,1.0,1330935,9966538,25126798,3s4rtofacitinibruxolitinibl1236,0.621384466630799,0.0165318403486362,59.0625,3.776499999999999,-10.2751114238927,-14.7562305280747,-12.8464587259213,-16.9694062808293
453,3156,1-DOCOSANOL,RUXOLITINIB,L-1236,2.0,1330935,12620,25126798,1docosanolruxolitinibl1236,1.46143750391629,0.0679439317680834,47.261,23.094,0.823310372001869,-29.6760048278372,-2.01187064444591,1.21283940958499
458,3566,10-EPI-ACLACINOMYCIN A,RUXOLITINIB,L-1236,1.0,1330935,154943,25126798,10epiaclacinomycinaruxolitinibl1236,0.255497687363374,0.0874587248140488,61.7975,19.623000000000005,0.30768247854638,0.201675640795023,2.0190596185734,-0.725436646864838
513,3697,1032350-13-2,14913-33-8,A2058,1.0,906792,46930998,5702198,103235013214913338a2058,2.0,5.58897494045784,17.595,6.257,-2.06505885329191,-8.95176347306698,-38.7555702943823,-24.44452541897
514,3698,1032350-13-2,14913-33-8,A375,1.0,906793,46930998,5702198,103235013214913338a375,1.62645233350541,5.96535286421719,-4.0865,41.621,55.9749222798962,10.5635830486016,21.7564733018241,114.957174169671
515,3721,1032350-13-2,14913-33-8,LOX IMVI,1.0,905974,46930998,5702198,103235013214913338loximvi,0.177750948698145,1.58310056225116,20.552,-3.8845,-18.5681335288852,-11.3467831563526,-6.37352941530278,-20.4792051487102
516,3725,1032350-13-2,14913-33-8,RPMI7951,1.0,910903,46930998,5702198,103235013214913338rpmi7951,2.0,4.38888998028421,15.0385,-16.606,-15.2698601542224,1.28752614072632,-32.5248260559738,-38.7732614939185
517,3727,1032350-13-2,14913-33-8,SK-MEL-2,1.0,905955,46930998,5702198,103235013214913338skmel2,1.48937961007416,7.24116149084214,7.7445,-7.391,-7.62111676518242,-18.4232782932053,-17.2050576012598,-16.8628648336541
518,3728,1032350-13-2,14913-33-8,SK-MEL-28,1.0,905954,46930998,5702198,103235013214913338skmel28,1.31531682583197,8.0,27.0155,15.753,11.6888990939179,-2.70717036449723,-14.0035703395446,7.14214727243457
519,3729,1032350-13-2,14913-33-8,SK-MEL-5,1.0,905956,46930998,5702198,103235013214913338skmel5,1.82166940543057,4.15211989443096,13.0245,18.3055,3.4453543380698,-35.4218465993947,-6.98253693867629,19.2091747419435
520,3731,1032350-13-2,14913-33-8,UACC-257,1.0,905977,46930998,5702198,103235013214913338uacc257,1.31000072701372,7.13652640681662,11.175,22.8285,2.44763832203793,-5.96226409344801,4.99926596956287,32.7174387752117
521,3732,1032350-13-2,14913-33-8,UACC62,1.0,905976,46930998,5702198,103235013214913338uacc62,0.430657225142526,6.33607972270915,33.3925,1.5915,-16.7871051100895,-19.9936441517448,-9.72056962099123,-18.5551566907848
664,4412,1032350-13-2,BMS-536924,A2058,1.0,906792,46930998,135440466,1032350132bms536924a2058,2.0,0.968684066549803,38.217,6.3765,-3.55357062645732,14.6318890877973,-19.7263781779903,-24.539469480085
665,4413,1032350-13-2,BMS-536924,A375,1.0,906793,46930998,135440466,1032350132bms536924a375,1.62650949273947,0.858751375848394,7.1075,56.607,68.6218840617481,16.8564097307474,28.1882939306081,128.815235255607
666,4435,1032350-13-2,BMS-536924,LOX IMVI,1.0,905974,46930998,135440466,1032350132bms536924loximvi,0.177238558487215,0.585908976645924,20.0205,5.167,-7.3233398225849,1.33396844179937,1.65738430337261,-2.07100513030384
667,4439,1032350-13-2,BMS-536924,RPMI7951,1.0,910903,46930998,135440466,1032350132bms536924rpmi7951,2.0,1.0,26.1225,-16.06,-20.4252234834204,-7.94946626969928,-30.225008545642,-47.2501778376152
668,4441,1032350-13-2,BMS-536924,SK-MEL-2,1.0,905955,46930998,135440466,1032350132bms536924skmel2,1.25587730393873,0.700913834999121,28.249,32.9065,30.9286127407469,9.14638900759824,11.0670167456209,37.1727589672529
669,4442,1032350-13-2,BMS-536924,SK-MEL-28,1.0,905954,46930998,135440466,1032350132bms536924skmel28,1.22667536928731,1.0,41.102,28.214,7.07552912776741,-9.85645924488606,-13.4139405031674,5.50507634929234
670,4443,1032350-13-2,BMS-536924,SK-MEL-5,1.0,905956,46930998,135440466,1032350132bms536924skmel5,1.36023919962396,1.0,28.844,17.6075,-1.09287393544793,-7.18360371880382,-9.61704265530942,-1.29157736923539
671,4445,1032350-13-2,BMS-536924,UACC-257,1.0,905977,46930998,135440466,1032350132bms536924uacc257,1.15803352706463,0.797700162244316,13.397,32.619,14.9790082894347,9.32205130423046,13.9053012367697,53.1451208063157
672,4446,1032350-13-2,BMS-536924,UACC62,1.0,905976,46930998,135440466,1032350132bms536924uacc62,0.431701174931506,0.560878465054179,23.051,-7.3695,-20.1636385661043,-26.2677068725181,-20.95268940966,-26.4226036153704
1122,6740,1032350-13-2,VATALANIB,A2058,1.0,906792,46930998,151194,1032350132vatalaniba2058,2.0,3.50100543280636,30.9285,-6.005,-17.261588972184,7.22458100909021,-26.5374268113817,-34.7918785862332
1123,6741,1032350-13-2,VATALANIB,A375,1.0,906793,46930998,151194,1032350132vatalaniba375,1.62643647156093,1.8734908518439,4.6295,40.8615,49.0642997969144,9.49521874793352,11.1815081421447,82.485688588467
1124,6764,1032350-13-2,VATALANIB,LOX IMVI,1.0,905974,46930998,151194,1032350132vatalanibloximvi,0.177874701039211,5.15127952615187,40.6625,62.2945,37.0703838350123,2.56253535137548,2.92271316020171,72.5568605097736
1125,6768,1032350-13-2,VATALANIB,RPMI7951,1.0,910903,46930998,151194,1032350132vatalanibrpmi7951,2.0,1.78918737980533,27.2115,-2.9555,-18.3942543735146,-6.06401515132727,-12.8287886517719,-29.0416434147876
1126,6770,1032350-13-2,VATALANIB,SK-MEL-2,1.0,905955,46930998,151194,1032350132vatalanibskmel2,1.25687205971056,10.0,46.829,26.269,3.3810076553707,4.31779057509508,4.51132556341905,0.775320184918387
1127,6771,1032350-13-2,VATALANIB,SK-MEL-28,1.0,905954,46930998,151194,1032350132vatalanibskmel28,1.22672814201322,5.46348261687871,45.2285,40.1225,20.541887378922,-14.3957298307699,-5.6212451495042,23.8705811941744
1128,6772,1032350-13-2,VATALANIB,SK-MEL-5,1.0,905956,46930998,151194,1032350132vatalanibskmel5,1.36013614345689,6.41726915893941,45.088,35.5565,5.17623567860807,-9.52610402146123,5.36832514205667,15.1577652715187
1129,6774,1032350-13-2,VATALANIB,UACC-257,1.0,905977,46930998,151194,1032350132vatalanibuacc257,1.62446715860642,5.7002626285004,25.245,26.0915,-4.794249816028,-1.89907279254015,5.04901895725899,19.7659188893281
1130,6775,1032350-13-2,VATALANIB,UACC62,1.0,905976,46930998,151194,1032350132vatalanibuacc62,0.430586145291944,5.3344014450388,47.4925,23.854,4.10773895077453,-5.74701739647239,9.34825105743768,5.564156032307
1172,7023,1047953-91-2,RUXOLITINIB,L-1236,1.0,1330935,45942672,25126798,1047953912ruxolitinibl1236,0.684801934795768,0.0386695281316098,28.787,-15.506500000000004,-11.7919559120364,-36.7023115147,-22.2649947654312,-25.8524292150634
